Name   , Term                                                                                                         , ES                  , NES                , NOM p-val           , FDR q-val           , FWER p-val, Tag % , Gene %, Lead_genes
prerank, Reactome_2022__RAC1 GTPase Cycle R-HSA-9013149                                                               , -0.4195791062971862 , -1.221990283898671 , 0.20652173913043478 , 0.9730790333115611  ,       1.0 , 8/16  , 30.09%, NCF1;FAM13B;PRKCSH;CDC42BPA;GARRE1;PLEKHG6;EMD;ARHGDIA
prerank, Reactome_2022__HCMV Infection R-HSA-9609646                                                                  , -0.39680540006553844, -1.2171720331962552, 0.1875              , 0.970863688891122   ,       1.0 , 14/25 , 42.31%, H2BC14;H2BC1;H2BC15;NUP153;CD46;H2BC13;H2BC26;H2AC14;H2AC12;H2AC1;H2AC21;H2AC11;MVB12A;H3C13
prerank, KEGG_2021_Human__Olfactory transduction                                                                      , -0.32021250140169855, -1.2118425065546883, 0.08                , 0.9688124440573821  ,       1.0 , 72/185, 31.87%, OR4A5;OR52W1;OR13C8;OR4M2;OR1L4;OR51V1;PRKACG;OR2T27;OR6X1;OR1N1;OR1K1;OR10V1;OR8B2;OR4D6;OR2AE1;OR51I1;OR51F1;OR56A5;OR2M5;OR13F1;OR11H4;OR2G3;OR52B6;OR5K1;OR52B2;OR4D11;OR2T33;OR10AD1;OR6C75;OR8K3;OR52M1;OR1Q1;OR10A7;OR1J2;OR2F2;OR51B6;OR1A2;OR2S2;OR6B3;OR9K2;OR11H6;OR5K4;OR51F2;OR2D3;OR10S1;OR51S1;OR10R2;OR8I2;OR52N2;OR4K15;OR5D14;OR4E2;OR1G1;OR6F1;OR4D2;OR2Y1;OR5D18;OR51D1;OR51T1;OR51A7;OR2C1;OR52I2;OR2T1;OR10W1;OR8B8;OR8B4;OR5L2;OR10G7;OR52H1;OR5F1;OR4N5;OR1S1
prerank, Reactome_2022__Sensory Perception R-HSA-9709957                                                              , -0.3207660988204319 , -1.211055851819011 , 0.06                , 0.9406830269665019  ,       1.0 , 71/181, 31.87%, OR4A5;OR52W1;OR13C8;OR1L4;OR51V1;OR2T27;OR6X1;OR1N1;OR1K1;OR10V1;OR8B2;OR4D6;OR2AE1;OR51I1;OR51F1;OR56A5;OR2M5;OR13F1;OR11H4;OR2G3;KIF20B;OR52B6;OR5K1;OR52B2;OR4D11;OR2T33;OR10AD1;OR6C75;OR8K3;OR52M1;OR1Q1;OR10A7;OR1J2;OR2F2;OR51B6;OR1A2;OR2S2;OR6B3;OR9K2;OR11H6;OR5K4;OR51F2;OR2D3;OR10S1;OR51S1;OR10R2;OR8I2;OR52N2;OR4K15;OR5D14;OR4E2;OR1G1;OR6F1;OR4D2;OR2Y1;OR5D18;OR51D1;OR51T1;OR51A7;OR2C1;OR52I2;OR2T1;OR10W1;OR8B8;OR8B4;OR5L2;OR10G7;OR52H1;OR5F1;OR4N5;OR1S1
prerank, Reactome_2022__Olfactory Signaling Pathway R-HSA-381753                                                      , -0.32080315014109845, -1.2085583353902514, 0.08                , 0.8910037012845635  ,       1.0 , 70/179, 31.87%, OR4A5;OR52W1;OR13C8;OR1L4;OR51V1;OR2T27;OR6X1;OR1N1;OR1K1;OR10V1;OR8B2;OR4D6;OR2AE1;OR51I1;OR51F1;OR56A5;OR2M5;OR13F1;OR11H4;OR2G3;OR52B6;OR5K1;OR52B2;OR4D11;OR2T33;OR10AD1;OR6C75;OR8K3;OR52M1;OR1Q1;OR10A7;OR1J2;OR2F2;OR51B6;OR1A2;OR2S2;OR6B3;OR9K2;OR11H6;OR5K4;OR51F2;OR2D3;OR10S1;OR51S1;OR10R2;OR8I2;OR52N2;OR4K15;OR5D14;OR4E2;OR1G1;OR6F1;OR4D2;OR2Y1;OR5D18;OR51D1;OR51T1;OR51A7;OR2C1;OR52I2;OR2T1;OR10W1;OR8B8;OR8B4;OR5L2;OR10G7;OR52H1;OR5F1;OR4N5;OR1S1
prerank, Reactome_2022__Expression And Translocation Of Olfactory Receptors R-HSA-9752946                             , -0.32080315014109845, -1.2085583353902514, 0.08                , 0.8910037012845635  ,       1.0 , 70/179, 31.87%, OR4A5;OR52W1;OR13C8;OR1L4;OR51V1;OR2T27;OR6X1;OR1N1;OR1K1;OR10V1;OR8B2;OR4D6;OR2AE1;OR51I1;OR51F1;OR56A5;OR2M5;OR13F1;OR11H4;OR2G3;OR52B6;OR5K1;OR52B2;OR4D11;OR2T33;OR10AD1;OR6C75;OR8K3;OR52M1;OR1Q1;OR10A7;OR1J2;OR2F2;OR51B6;OR1A2;OR2S2;OR6B3;OR9K2;OR11H6;OR5K4;OR51F2;OR2D3;OR10S1;OR51S1;OR10R2;OR8I2;OR52N2;OR4K15;OR5D14;OR4E2;OR1G1;OR6F1;OR4D2;OR2Y1;OR5D18;OR51D1;OR51T1;OR51A7;OR2C1;OR52I2;OR2T1;OR10W1;OR8B8;OR8B4;OR5L2;OR10G7;OR52H1;OR5F1;OR4N5;OR1S1
prerank, Reactome_2022__Pre-NOTCH Transcription And Translation R-HSA-1912408                                         , -0.43076871735593825, -1.19776886571431  , 0.2391304347826087  , 0.9219401192558101  ,       1.0 , 8/15  , 34.01%, H2BC14;H2BC1;H2BC15;NOTCH2;AGO3;H2BC13;H2BC26;H2AC14
prerank, Reactome_2022__RHO GTPase Effectors R-HSA-195258                                                             , -0.38478224817610895, -1.195066886945315 , 0.2727272727272727  , 0.9077318745917702  ,       1.0 , 10/27 , 26.77%, NCF1;H2BC14;H2BC1;H2BC15;PRKCD;NCOA2;KIF14;KLC1;H2BC13;H2BC26
prerank, Reactome_2022__GPCR Ligand Binding R-HSA-500792                                                              , -0.3909601669389947 , -1.191933236088875 , 0.25806451612903225 , 0.898719395126972   ,       1.0 , 13/22 , 46.41%, GPR31;ADRA2C;HTR1A;CASR;NPBWR2;PLPPR2;DHX34;CCL21;GNG10;CHRM4;C5AR1;NPBWR1;TAS2R30
prerank, Reactome_2022__RHO GTPases Activate PKNs R-HSA-5625740                                                       , -0.43404037374026555, -1.187518112861193 , 0.21978021978021978 , 0.8952856648864641  ,       1.0 , 9/16  , 44.69%, H2BC14;H2BC1;H2BC15;NCOA2;H2BC13;H2BC26;H2AC14;H3C13;YWHAE
prerank, Reactome_2022__Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202, 0.21453049483925096 , 1.1853937575757043 , 0.0                 , 0.4525316455696202  ,       0.49, 13/34 , 15.61%, PTEN;HES5;AXIN1;BRAF;PSMB8;MARK3;AKT1;SKP1;VCL;PPP2R5C;EREG;NCSTN;TRIP11
