Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GO_Biological_Process_2021__regulation of mitotic cell cycle phase transition (GO:1901990),-0.4967605165134453,-1.1327588588566349,0.2785862785862786,1.0,1.0,4/17,14.72%,PSMB8;SKP1;CDC27;PSMA5
prerank,Reactome_2022__GPCR Downstream Signaling R-HSA-388396,0.4238071471565495,1.128344827623032,0.23976608187134502,0.9670139807126108,1.0,9/36,14.60%,GNA13;DRD5;C5AR1;MC5R;AKT3;CCL5;GPHA2;NPBWR1;AVPR2
prerank,Reactome_2022__Ub-specific Processing Proteases R-HSA-5689880,-0.44369852667629595,-1.124349567438547,0.25732217573221755,1.0,1.0,9/27,18.81%,H2AC20;PSMB8;AXIN1;ADRM1;PTEN;PSMA5;H2AC4;H2BC3;VDAC2
prerank,GO_Cellular_Component_2021__secretory granule lumen (GO:0034774),-0.45750730712913434,-1.1239089170372247,0.28252032520325204,1.0,1.0,6/23,14.72%,QSOX1;VCL;DBNL;GPI;DOCK2;PSMA5
prerank,GO_Biological_Process_2021__protein transport (GO:0015031),-0.45448094161003405,-1.1199272515571375,0.26953125,1.0,1.0,6/24,13.41%,AP2A1;SNX1;TBC1D17;ATP6AP1;ARF3;RCN3
prerank,"GO_Biological_Process_2021__mRNA splicing, via spliceosome (GO:0000398)",0.4634311108368243,1.1191518742541267,0.29320388349514565,0.9610287435629902,1.0,6/20,15.55%,PQBP1;PRCC;ESS2;HNRNPL;ZMAT5;SF3B4
prerank,"GO_Biological_Process_2021__RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)",0.4634311108368243,1.1191518742541267,0.29320388349514565,0.9610287435629902,1.0,6/20,15.55%,PQBP1;PRCC;ESS2;HNRNPL;ZMAT5;SF3B4
prerank,GO_Biological_Process_2021__negative regulation of transcription by RNA polymerase II (GO:0000122),0.4226309224276969,1.1188137312886361,0.2632696390658174,0.9413180303591263,1.0,11/33,16.74%,NFATC3;RIF1;IRF2BP1;ZNF451;FOXC2;GPS2;ZGPAT;EZH2;FOXD3;ZFP36;MLX
prerank,GO_Biological_Process_2021__transcription by RNA polymerase II (GO:0006366),-0.46244156363854494,-1.118558185392051,0.3008298755186722,1.0,1.0,4/23,9.67%,TRIP11;FOXE3;TAF6;ADRM1
prerank,Reactome_2022__SARS-CoV-2 Infection R-HSA-9694516,0.4246960533276303,1.1182594057562454,0.26145038167938933,0.922987460360897,1.0,9/31,24.33%,CHMP6;UBE2V1;PARP4;AKT3;RPS10;MAP1LC3B;EDEM2;PARP10;RPS14
prerank,GO_Molecular_Function_2021__transition metal ion binding (GO:0046914),0.4984559585594885,1.117420481245639,0.2919847328244275,0.9065397370556217,1.0,6/15,20.47%,KAT6A;ADAM30;ALOX5;PLSCR3;ARIH1;CHMP1A
prerank,Reactome_2022__MAPK Family Signaling Cascades R-HSA-5683057,-0.4567613894352825,-1.1128059659123473,0.30417495029821073,1.0,1.0,5/22,14.72%,PSMB8;VCL;BRAF;RASGRP4;PSMA5
prerank,KEGG_2021_Human__Pathways of neurodegeneration,-0.4341679642784493,-1.1097473042202521,0.27010309278350514,1.0,1.0,9/27,19.41%,FZD10;AXIN1;FZD9;ADRM1;BRAF;PSMA5;ATP5F1A;VDAC2;PPP3R2
prerank,GO_Cellular_Component_2021__nucleus (GO:0005634),0.31235362611263306,1.1082280487414697,0.15547024952015356,0.9267208132790324,1.0,58/293,16.74%,ZNF292;TMEM250;TIPARP;UBE2V1;ATAD2;HMGA1;ATOH7;SHFL;KAT6B;MCRS1;GNA13;KAT6A;REL;PTMS;NFATC3;RIF1;H2BC18;SENP1;H2BC1;PDS5A;FOXS1;RNF187;IRF2BP1;MELK;ZNF451;KPNA5;PARP4;MAPK10;LDHAL6B;PQBP1;TESK1;RNF40;FOXC2;NDRG1;PHC2;CCDC85B;RNF38;H3C1;CPEB4;PRCC;ESS2;GPS2;FAF1;HNRNPL;PLSCR3;OMP;EDC4;ZGPAT;CELF2;EZH2;NEK1;SF3B4;USF1;ZFP36;ERCC6;H3C13;DCUN1D1;MLX
prerank,GO_Cellular_Component_2021__neuron projection (GO:0043005),0.4297457871994908,1.1072694913982501,0.27564102564102566,0.9119071545686027,1.0,11/32,18.81%,OR10H1;MCRS1;OR10J5;OR6T1;OPA1;RNF40;CPEB4;OMP;NPBWR1;OR10H3;OR5T2
prerank,GO_Biological_Process_2021__phosphorylation (GO:0016310),-0.417440155030825,-1.1046414079830014,0.28205128205128205,1.0,1.0,10/33,16.50%,MAP4K2;PRKAA1;AKT1;CDK11B;BRAF;BRD2;CDK16;TAOK2;PEAK3;CDK17
prerank,GO_Biological_Process_2021__mRNA processing (GO:0006397),0.45036396270491386,1.104145779913787,0.29549902152641877,0.9065346168085895,1.0,6/22,15.55%,PQBP1;PRCC;ESS2;HNRNPL;ZMAT5;SF3B4
prerank,Reactome_2022__Apoptosis R-HSA-109581,-0.46457811206345934,-1.1021562661883502,0.30620985010706636,1.0,1.0,4/18,14.72%,PSMB8;DBNL;AKT1;PSMA5
prerank,GO_Biological_Process_2021__regulation of apoptotic process (GO:0042981),-0.3733744495841729,-1.0974165098915756,0.270042194092827,1.0,1.0,11/55,11.93%,TCIM;HS1BP3;FOXE3;EVI2B;FOXL2;CALHM2;FZD9;PRKAA1;AKT1;NCSTN;BRAF
prerank,KEGG_2021_Human__Huntington disease,-0.46405996719481163,-1.0974111109696534,0.31160896130346233,1.0,1.0,6/19,18.81%,CLTA;AP2A1;ADRM1;PSMA5;ATP5F1A;VDAC2
prerank,GO_Molecular_Function_2021__RNA polymerase II cis-regulatory region sequence-specific DNA binding (GO:0000978),0.3787147753255282,1.0965362140406694,0.28599221789883267,0.9178880734078155,1.0,18/56,21.19%,ATOH7;ZNF524;MGA;REL;NFATC3;FOXS1;FOXD4;ZNF213;ZNF460;FOXC2;ZGPAT;FOXD3;USF1;MLX;FOXD4L5;CALCOCO1;REST;NFIA
prerank,GO_Biological_Process_2021__cytokine-mediated signaling pathway (GO:0019221),0.40264829407021907,1.0894797407622343,0.28316831683168314,0.9288760573007147,1.0,11/40,16.50%,UBE2V1;TNFSF12;IL10RB;ALOX5;IFNE;PTPRJ;H3C1;CCL5;MIF;IFI6;H3C13
prerank,GO_Molecular_Function_2021__purine ribonucleoside triphosphate binding (GO:0035639),-0.405479569694004,-1.087953985717898,0.29559748427672955,1.0,1.0,10/35,19.53%,AGAP2;MAP4K2;AKT1;CDK11B;ARF3;RASEF;ATP5F1A;RHOF;RABL6;ARL14
prerank,GO_Biological_Process_2021__protein-containing complex assembly (GO:0065003),-0.4612847601441207,-1.085345300436172,0.34331337325349304,1.0,1.0,5/16,8.90%,HSF1;SKP1;AXIN1;DBNL;SEC24C
prerank,GO_Biological_Process_2021__protein phosphorylation (GO:0006468),-0.3928378088452308,-1.0836777630942451,0.2975206611570248,1.0,1.0,12/39,16.50%,CSNK1G3;MAP4K2;FES;PRKAA1;AKT1;CDK11B;BRAF;BRD2;CDK16;TAOK2;PEAK3;CDK17
prerank,GO_Molecular_Function_2021__transcription cis-regulatory region binding (GO:0000976),0.43109687430309684,1.0831746787844527,0.35542168674698793,0.9371965659119963,1.0,9/27,21.66%,TIPARP;HMGA1;FOXC2;HNRNPL;FOXD3;MLX;CALCOCO1;REST;FOXN2
prerank,Reactome_2022__Adaptive Immune System R-HSA-1280218,-0.377731099626163,-1.0829899137264496,0.29124236252545826,1.0,1.0,11/52,12.17%,CLTA;FBXW12;PSMB8;SKP1;AP2A1;CDC27;SEC24C;AKT1;MAP3K14;PTEN;HECTD3
prerank,Reactome_2022__Signal Transduction R-HSA-162582,-0.3258884529247026,-1.081488094331842,0.24152542372881355,1.0,1.0,36/156,18.87%,CLTA;EPN1;H2AC20;GABRA1;PSMB8;SKP1;VCL;ANKRD26;AP2A1;RGS3;FZD10;AXIN1;FES;PPP1R15A;KIDINS220;FZD9;PRKAA1;ATP6AP1;AKT1;NCSTN;PTEN;BRAF;ARAP3;DOCK2;ADRA2B;MOB1B;RASGRP4;PSMA5;H2AC4;PDE4D;SMC3;RHOF;PIK3R5;H2BC3;DERL2;PHIP
